,0
open,float64
high,float64
low,float64
close,float64
volume,int64
currency,object
volume_adi,float64
volume_obv,int64
volume_cmf,float64
volume_fi,float64
volume_em,float64
volume_sma_em,float64
volume_vpt,float64
volume_vwap,float64
volume_mfi,float64
volume_nvi,float64
volatility_bbm,float64
volatility_bbh,float64
volatility_bbl,float64
volatility_bbw,float64
volatility_bbp,float64
volatility_bbhi,float64
volatility_bbli,float64
volatility_kcc,float64
volatility_kch,float64
volatility_kcl,float64
volatility_kcw,float64
volatility_kcp,float64
volatility_kchi,float64
volatility_kcli,float64
volatility_dcl,float64
volatility_dch,float64
volatility_dcm,float64
volatility_dcw,float64
volatility_dcp,float64
volatility_atr,float64
volatility_ui,float64
trend_macd,float64
trend_macd_signal,float64
trend_macd_diff,float64
trend_sma_fast,float64
trend_sma_slow,float64
trend_ema_fast,float64
trend_ema_slow,float64
trend_vortex_ind_pos,float64
trend_vortex_ind_neg,float64
trend_vortex_ind_diff,float64
trend_trix,float64
trend_mass_index,float64
trend_dpo,float64
trend_kst,float64
trend_kst_sig,float64
trend_kst_diff,float64
trend_ichimoku_conv,float64
trend_ichimoku_base,float64
trend_ichimoku_a,float64
trend_ichimoku_b,float64
trend_stc,float64
trend_adx,float64
trend_adx_pos,float64
trend_adx_neg,float64
trend_cci,float64
trend_visual_ichimoku_a,float64
trend_visual_ichimoku_b,float64
trend_aroon_up,float64
trend_aroon_down,float64
trend_aroon_ind,float64
trend_psar_up,float64
trend_psar_down,float64
trend_psar_up_indicator,float64
trend_psar_down_indicator,float64
momentum_rsi,float64
momentum_stoch_rsi,float64
momentum_stoch_rsi_k,float64
momentum_stoch_rsi_d,float64
momentum_tsi,float64
momentum_uo,float64
momentum_stoch,float64
momentum_stoch_signal,float64
momentum_wr,float64
momentum_ao,float64
momentum_roc,float64
momentum_ppo,float64
momentum_ppo_signal,float64
momentum_ppo_hist,float64
momentum_pvo,float64
momentum_pvo_signal,float64
momentum_pvo_hist,float64
momentum_kama,float64
others_dr,float64
others_dlr,float64
others_cr,float64
cpiaucns,float64
cpiaucns_multiplier,float64
cpi_adj_price,float64
20d_vol_avg,float64
100d_vol_avg,float64
daily_diff,float64
daily_returns,float64
daily_volume_diff,float64
daily_volume_pc_change,float64
gain,float64
loss,float64
7d_avg_gain,float64
7d_avg_loss,float64
7d_rs,float64
7d_rsi,float64
14d_avg_gain,float64
14d_avg_loss,float64
14d_rs,float64
14d_rsi,float64
50d_avg_gain,float64
50d_avg_loss,float64
50d_rs,float64
50d_rsi,float64
200d_avg_gain,float64
200d_avg_loss,float64
200d_rs,float64
200d_rsi,float64
7d_force_index,float64
14d_force_index,float64
7d_cci,float64
14d_cci,float64
log_ret,float64
7d_historic_volatility_of_risk-adjusted_return,float64
14d_historic_volatility_of_risk-adjusted_return,float64
252d_historic_volatility_of_risk-adjusted_return,float64
7d_sharpe_ratio,float64
14d_sharpe_ratio,float64
50d_sharpe_ratio,float64
200d_sharpe_ratio,float64
